report_date,category,revenue
21/04/2022,Saree,6069.0
21/04/2022,Set,955600.0
21/04/2022,Top,120008.0
21/04/2022,Western Dress,163795.0
21/04/2022,kurta,512524.0
22/04/2022,Blouse,6646.0
22/04/2022,Bottom,9602.0
22/04/2022,Ethnic Dress,15484.0
22/04/2022,Saree,6149.0
22/04/2022,Set,971241.0
22/04/2022,Top,116428.0
22/04/2022,Western Dress,175020.0
22/04/2022,kurta,534555.0
23/04/2022,Blouse,11251.0
23/04/2022,Bottom,9817.0
23/04/2022,Ethnic Dress,11056.0
23/04/2022,Saree,4179.0
23/04/2022,Set,1002688.0
23/04/2022,Top,123957.0
23/04/2022,Western Dress,154935.0
23/04/2022,kurta,527775.0
24/04/2022,Blouse,14997.0
24/04/2022,Bottom,7850.0
24/04/2022,Ethnic Dress,10303.0
24/04/2022,Saree,5781.0
24/04/2022,Set,1025338.0
24/04/2022,Top,131976.0
24/04/2022,Western Dress,156369.0
24/04/2022,kurta,498854.0
25/04/2022,Blouse,14078.0
25/04/2022,Bottom,5489.0
25/04/2022,Ethnic Dress,8673.0
25/04/2022,Saree,4882.0
25/04/2022,Set,967074.0
25/04/2022,Top,141563.0
25/04/2022,Western Dress,150691.0
25/04/2022,kurta,471166.0
26/04/2022,Blouse,9969.0
26/04/2022,Bottom,4445.0
26/04/2022,Ethnic Dress,7493.0
26/04/2022,Saree,3410.0
26/04/2022,Set,860965.0
26/04/2022,Top,135754.0
26/04/2022,Western Dress,136119.0
26/04/2022,kurta,431667.0
27/04/2022,Blouse,8291.0
27/04/2022,Bottom,6781.0
27/04/2022,Ethnic Dress,4337.0
27/04/2022,Set,754208.0
27/04/2022,Top,124800.0
27/04/2022,Western Dress,123017.0
27/04/2022,kurta,386088.0
28/04/2022,Blouse,9371.0
28/04/2022,Bottom,6709.0
28/04/2022,Ethnic Dress,6323.0
28/04/2022,Saree,6130.0
28/04/2022,Set,728982.0
28/04/2022,Top,125443.0
28/04/2022,Western Dress,116537.0
28/04/2022,kurta,384731.0
29/04/2022,Blouse,9410.0
29/04/2022,Bottom,4892.0
29/04/2022,Ethnic Dress,10633.0
29/04/2022,Saree,7768.0
29/04/2022,Set,811089.0
29/04/2022,Top,125323.0
29/04/2022,Western Dress,134554.0
29/04/2022,kurta,400425.0
30/04/2022,Blouse,9446.0
30/04/2022,Bottom,1866.0
30/04/2022,Ethnic Dress,14521.0
30/04/2022,Saree,9377.0
30/04/2022,Set,973581.0
30/04/2022,Top,133714.0
30/04/2022,Western Dress,174707.0
30/04/2022,kurta,481733.0
01/05/2022,Blouse,10426.0
01/05/2022,Bottom,1522.0
01/05/2022,Ethnic Dress,12916.0
01/05/2022,Saree,3810.0
01/05/2022,Set,1175136.0
01/05/2022,Top,136758.0
01/05/2022,Western Dress,212561.0
01/05/2022,kurta,565679.0
02/05/2022,Blouse,12375.0
02/05/2022,Bottom,3465.0
02/05/2022,Ethnic Dress,13452.0
02/05/2022,Saree,2172.0
02/05/2022,Set,1291916.0
02/05/2022,Top,137823.0
02/05/2022,Western Dress,214298.0
02/05/2022,kurta,671397.0
03/05/2022,Blouse,12250.0
03/05/2022,Bottom,3775.0
03/05/2022,Ethnic Dress,16750.0
03/05/2022,Saree,2593.0
03/05/2022,Set,1340890.0
03/05/2022,Top,137274.0
03/05/2022,Western Dress,215883.0
03/05/2022,kurta,737411.0
04/05/2022,Blouse,8851.0
04/05/2022,Bottom,3384.0
04/05/2022,Ethnic Dress,21439.0
